Location Number,Store Format,Region Number,District Number,Location City,Location State Code,Zip Code,Zip Plus Four,National Number,National Description,Location Name,Vice President Region Name,Region Manager Name,Close  Date,Planned Close Date,Open Date,District Manager Name,Format Type,Store Format Description,Dma Name,Latitude,Longitude,Original Facility Number,Location Status,Row Create Timestamp,Row Create User Identifier,Row Modify Timestamp,Row Modify User Identifier,,,
35149,APO,74414,73414,CORALVILLE,IA,52241,2801,70002,SEARS FORMAT,CORALVILLE - B,RSTTO     /   SEARS,RSTTO SEARS SECUR,1/1/1900,1/1/1900,11/15/2003,DSTNY SST NEW YOR,450,ACCOUNTING UNITS,Cedar Rapids et al, IA,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
32413,DST,9033,8560,HOFFMAN ESTATES,IL,60179,3333,70003,DISTR FORMAT,HANOVER - IMPORT WHSE,DC STORE ROLLUP-TOP LEVEL,,1/1/1900,1/1/1900,2/13/1998,,450,DISTRIBUTION CENTERS,Chicago, IL,0,0,77588,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
6071,SAC,79110,78597,CHICAGO,IL,60640,4002,70002,SEARS FORMAT,CHICAGO(LAWRENCE)-SAC,CLOSED SAC/SAC - REG,CLOSED UNITS-SAC,9/22/2012,9/22/2012,1/1/1951,D597 CLOSED UNITS,1,SEARS AUTO CENTERS,Chicago, IL,41.9691,-87.677,6071,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
36516,HDQ,74407,73407,HOFFMAN EST,IL,60179,?,70002,SEARS FORMAT,RISK MANAGEMENT,Overhead  /OHD 6,OVERHEAD RGN,1/1/1900,1/1/1900,2/27/1997,OVERHEAD DIST,700,HDQTRS DEPTS,Chicago, IL,0,0,?,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
5152,DLR,79594,78362,ROCHESTER,NY,14625,2322,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,NORTHEAST /HOMETOWN,R9042 NORTH REG,1/1/1900,1/1/1900,4/20/2011,D362 ROCHESTER,1,AUTH HOMETOWN STORES,Rochester, NY,43.135,-77.4975,5152,OPEN,5/15/2014 08:56:37,PNADIGE,10/5/2016 13:04:47,MAPMPS_PROD_BCH,,
6540,DLR,79603,78371,GEORGETOWN,SC,29440,2853,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,SOUTHEAST//HOMETOWN,R9040 EAST,1/1/1900,1/1/1900,11/15/1997,D371 SAVANNAH,1,AUTH HOMETOWN STORES,Charleston, SC,33.3898,-79.2894,3785,OPEN,5/15/2014 08:56:37,PNADIGE,10/5/2016 13:04:47,MAPMPS_PROD_BCH,,
4944,CPD,73262,8551,AUGUSTA,GA,30904,7011,70002,SEARS FORMAT,KENT CS CROSS DOCK,COMM SALES/CS NATL A,CS NATL ACCTS DIST,1/1/1900,1/1/1900,2/19/2003,ZISH TROCKI,316,COMMERCIAL PRD,Augusta-Aiken, GA-SC,0,0,4944,OPEN,5/15/2014 08:56:37,PNADIGE,9/18/2014 04:03:57,MOKSHA_PROD_BCH,,
7253,KMB,40760,40743,MARYSVILLE,WA,98270,2257,70001,KMART FORMAT,MARYSVILLE WA,CLOSED STO/   -     ,2016 CLOSED RM,7/10/2016,7/10/2016,7/23/1981,2016 CLOSED DM,2,KMART BIG K STORES,Seattle-Tacoma, WA,48.0836,-122.1708,?,CLOSED,5/15/2014 08:56:37,PNADIGE,7/31/2016 11:14:48,MAPMPS_PROD_BCH,,
2540,GRD,79297,78297,PALATINE,IL,60067,3608,70002,SEARS FORMAT,PALATINE - B,CLOSED REG/   CLOSED,R9025 CLOSED REGI,1/17/2010,1/17/2010,5/25/2005,D297 CLOSED FLS D,1,SEARS GRANDS,Chicago, IL,42.1197,-88.0338,2540,CLOSED,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
33412,APO,74407,73407,HOFFMAN ESTATES,IL,60179,3333,70002,SEARS FORMAT,SHO RE TRANS WITH SEARS,Overhead  /OHD 6,OVERHEAD RGN,11/14/2016,11/14/2016,12/11/2012,OVERHEAD DIST,450,ACCOUNTING UNITS,Chicago, IL,0,0,33412,CLOSED,5/15/2014 08:56:37,PNADIGE,11/27/2016 07:45:56,MAPMPS_PROD_BCH,,
1108,FLS,79236,78166,TEMECULA,CA,92591,5524,70002,SEARS FORMAT,TEMECULA - A,SOUTHWEST /FLS - REG,SOUTHWEST,1/1/1900,1/1/1900,10/20/1999,SAN DIEGO 166,1,FULL LINE STORES,Los Angeles, CA,33.5265,-117.1531,1108,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
1821,DLR,79280,78280,EAGAN,MN,55123,?,70002,SEARS FORMAT,HOME APPLIANCE SHOWROOM,CLOSED HAS/CLOSED HA,CLOSED HAS STR REG,3/29/2015,3/29/2015,8/3/2008,CLOSED HAS STR DIST,1,AUTH HOMETOWN STORES,Minneapolis-St. Paul, MN,44.8319,-93.1622,1821,CLOSED,5/15/2014 08:56:37,PNADIGE,3/2/2016 10:49:43,MAPMPS_PROD_BCH,,
3356,DLR,79603,78391,GREENVILLE,AL,36037,2216,70002,SEARS FORMAT,AUTHORIZED HOMETOWN STORE,SOUTHEAST//HOMETOWN,R9040 EAST,1/1/1900,1/1/1900,11/14/2005,D391 DOTHAN,1,AUTH HOMETOWN STORES,Montgomery-Selma, AL,31.8322,-86.6262,3356,OPEN,5/15/2014 08:56:37,PNADIGE,10/5/2016 13:04:47,MAPMPS_PROD_BCH,,
2645,FLS,79233,78143,ASHEBORO,NC,27203,611,70002,SEARS FORMAT,ASHEBORO - B,SOUTHEAST /FLS - REG,SOUTHEAST,1/1/1900,1/1/1900,3/29/1989,RALEIGH 143,1,FULL LINE STORES,Greensboro et al, NC,35.7028,-79.7875,2645,OPEN,5/15/2014 08:56:37,PNADIGE,2/15/2015 09:33:44,MOKSHA_PROD_BCH,,
15022,MSC,79055,78330,SANTA PAULA,CA,93060,4016,70002,SEARS FORMAT,KMART 7639 - SANTA PAULA,KSR REGION/   KSR RE,R9055 KSR REGION,1/1/1900,1/1/1900,6/19/2007,KSR DISTRICT D330,999,MISCELLANOUS,Los Angeles, CA,0,0,15022,OPEN,5/15/2014 08:56:37,PNADIGE,5/15/2014 08:57:10,PNADIGE,,
