SHC_LOCN_NBR,NATL_NBR,SLL_FMT,VP_OVRHD_NBR,RGN_OVRHD_NBR,DM_OVRHD_NBR,LOCN_NBR,LOCN_LVL,FORMAT_TYPE,FORMAT_SUB_TYPE,STR_FMT,ORIG_FACILITY_NBR,ORIG_FACILITY_NBR_INT,AMMC_OVRHD_NBR,AMMC_MGR_NM,RPT_STR_NBR,LOCN_CTY,LOCN_ST_CD,ZIP_CD,ZIP_PLS_4,LOCN_OPN_DT,LOCN_CLS_DT,SHC_LOCN_DESC,NATL_DESC,SLL_FMT_DESC,VP_RGN_NM,RGN_MGR_NM,DM_MGR_NM,LOCN_NM,FMT_TYPE_MOD_CD,STR_TYPE_IND,CRM_FMT_SUB_TYPE,CLIM_ZN_NBR,MERCH_AREA_NBR,MERCH_AREA_NM,SRS_UNIT_LOCN_NBR,STR_OPER_CD,STR_OPER_DESC,LFSTY_CLS_CD,LOCN_CLS_CD
100000,70002,260,75402,74402,73402,33155,50,450,J ,APO,0033155,33155,0,,33155,ROUND ROCK,TX,78664,8701,7/8/2008,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RHDPR     /   HOME D,RHDPR HOME DEL PR,HOME DELIVERY,HOME DEL OFFLINE RND ROCK,  ,?,J ,?,0,,0,4,UNDEFINED,0,0
100000,70002,260,80940,79070,78951,4025,50,001,L ,OUT,0004025,4025,0,,4025,AMARILLO,TX,79121,1407,11/21/2013,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RETAIL OUT/FIELD ROL,WEST REGION-OUTLET,PHOENIX-OUTLET,AMARILLO - OUTLET,  ,?,L ,?,14,GULF COAST,0,1,OPEN FOR PROFIT,0,0
100000,70002,120,80110,79110,78597,6883,50,001,N1,SAC,0006883,6883,0,,6883,ALBANY,NY,12205,2702,8/17/1966,7/2/2016,SHC NATIONAL LOCATION,SEARS FORMAT,SEARS AUTO CENTERS,CLOSED SAC/SAC - REG,CLOSED UNITS-SAC,D597 CLOSED UNITS,ALBANY-SAC,  ,?,N1,?,2,NORTH EAST,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,75500,74500,73302,33065,50,999,  ,MSC,       ,?,0,,33065,HOFFMAN ESTATES,IL,60192,3333,1/29/2006,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,BRANDS-SEA/SBMC(SIMI,SBMC(SIMI),SBMC-LATIN AMERICA,MISC-ROYALTIES,  ,?,  ,?,0,,0,4,UNDEFINED,0,0
100000,70002,100,80233,79233,78193,1005,50,001,A ,FLS,0001005,1005,0,,1005,LAKE WALES,FL,33859,4751,2/14/1996,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,SOUTHEAST /FLS - REG,SOUTHEAST,MIAMI 193,LAKE WALES - A,  ,E,A ,5,6,FLORIDA,0,1,OPEN FOR PROFIT,0,0
100000,70002,100,80233,79233,78183,1955,50,001,A ,FLS,0001955,1955,0,,1955,LAKELAND,FL,33809,3824,3/2/1988,?,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,SOUTHEAST /FLS - REG,SOUTHEAST,ORLANDO 183,LAKELAND - A,  ,E,A ,5,6,FLORIDA,0,1,OPEN FOR PROFIT,0,0
100000,70002,110,80031,79041,78302,5291,50,001,H ,HDW,0005291,5291,0,,5291,SCHERERVILLE,IN,46375,1306,1/13/1993,4/24/2016,SHC NATIONAL LOCATION,SEARS FORMAT,HARDWARE STORES,HARDWARE  /FIELD,APPLIANCE & HARDWARE,D302 S CHIC/WI/IN,SCHERERVILLE - HDWR,SH,?,H ,?,10,NORTH MIDWEST,0,6,CLOSED FOR PROFIT,0,0
100000,70002,260,75403,74403,73403,36491,50,999,  ,MSC,D768RNT,?,0,,36491,HOFFMAN EST,IL,60179,3333,12/1/2000,?,SHC NATIONAL LOCATION,SEARS FORMAT,ACCOUNTING UNITS,RSATO     /   SEGMEN,RSATO SEGMENTED A,DSATO SEGMENTED A,D768FS LEASE RECONCIL,  ,?,  ,?,7,NORTH CENTRAL,0,4,UNDEFINED,0,0
100000,70002,210,80890,79890,73232,3451,50,660,F ,SVC,0007196,7196,0,,3451,WINTER PARK,FL,32792,6810,1/1/2004,?,SHC NATIONAL LOCATION,SEARS FORMAT,TELESERVICE CENTERS,WEST DIVIS/PR REPAIR,R890 WEST REGION,D890 WEST ASA,KANSAS CITY ASA SVC BRAN,  ,?,F ,?,6,FLORIDA,0,1,OPEN FOR PROFIT,0,0
100000,70002,100,80055,79055,78330,1983,50,001,D ,FLS,0001983,1983,0,,4719,ROME,GA,30161,6064,8/31/2007,12/13/2013,SHC NATIONAL LOCATION,SEARS FORMAT,FULL LINE STORES,KSR REGION/   KSR RE,R9055 KSR REGION,KSR DISTRICT D330,ROME - D,  ,E,DK,?,4,SOUTH,0,6,CLOSED FOR PROFIT,0,0
