NatlDesc,LocnNbr,StrFmt,LocnCity,LocnStCd,LocnNm,LocnStat,OrigFacilNbr,CloseDT
KMART FORMAT,7035,KMB,FARMINGTON,NM,FARMINGTON NM,OPEN,,-2.2089888E9
KMART FORMAT,7041,KMB,BARTLESVILLE,OK,BARTLESVILLE OK,OPEN,,-2.2089888E9
KMART FORMAT,7042,KMB,VALPARAISO,IN,VALPARAISO IN,OPEN,,-2.2089888E9
KMART FORMAT,7043,KMB,ROCK HILL,SC,ROCK HILL SC,OPEN,,-2.2089888E9
KMART FORMAT,7044,KMB,PLATTSBURGH,NY,PLATTSBURGH NY,OPEN,,-2.2089888E9
KMART FORMAT,7045,KMB,MUSCLE SHOALS,AL,MUSCLE SHOALS AL,OPEN,,-2.2089888E9
KMART FORMAT,7046,KMB,GOLDSBORO,NC,GOLDSBORO NC,OPEN,,-2.2089888E9
KMART FORMAT,7048,KMB,WEST LEBANON,NH,WEST LEBANON NH,OPEN,,-2.2089888E9
KMART FORMAT,7058,KMB,GREENWOOD,SC,GREENWOOD SC,OPEN,,-2.2089888E9
KMART FORMAT,7060,KMB,SHELBY,NC,SHELBY NC,OPEN,,-2.2089888E9
KMART FORMAT,7061,KMB,NEW IBERIA,LA,NEW IBERIA LA,CLOSING,,-2.2089888E9
KMART FORMAT,7062,KMB,SUMTER,SC,SUMTER SC,OPEN,,-2.2089888E9
KMART FORMAT,7063,KMB,MORRISTOWN,TN,MORRISTOWN TN,OPEN,,-2.2089888E9
KMART FORMAT,7064,KMB,DALTON,GA,DALTON GA,OPEN,,-2.2089888E9
KMART FORMAT,7065,KMB,HORSEHEADS,NY,HORSEHEADS NY,OPEN,,-2.2089888E9
KMART FORMAT,7068,KMB,MIDLAND,MI,MIDLAND MI,OPEN,,-2.2089888E9
KMART FORMAT,7075,KMB,SHAMOKIN DAM,PA,SHAMOKIN DAM PA,OPEN,,-2.2089888E9
KMART FORMAT,7077,KMB,HARLINGEN,TX,HARLINGEN TX,CLOSING,,-2.2089888E9
KMART FORMAT,7083,KMB,NEW CASTLE,PA,NEW CASTLE PA,OPEN,,-2.2089888E9
KMART FORMAT,7090,KMB,JACKSONVILLE,NC,JACKSONVILLE NC,OPEN,,-2.2089888E9
KMART FORMAT,7098,KMB,CONCORD,CA,CONCORD CA,OPEN,,-2.2089888E9
KMART FORMAT,7104,KMB,ACTON,MA,ACTON MA,OPEN,,-2.2089888E9
KMART FORMAT,7107,KMB,ROCK SPRINGS,WY,ROCK SPRINGS WY,OPEN,,-2.2089888E9
